INFO 2020-12-21 12:04:20,591 autoreload Watching for file changes with StatReloader
INFO 2020-12-21 12:41:38,248 basehttp "GET /greetings/list/ HTTP/1.1" 200 7593
WARNING 2020-12-21 12:41:38,359 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 12:41:38,360 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
WARNING 2020-12-21 12:41:38,646 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 12:41:38,646 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
INFO 2020-12-21 12:41:43,614 basehttp "GET /greetings/ HTTP/1.1" 200 2954
INFO 2020-12-21 12:42:08,831 views New message is added to  database.
INFO 2020-12-21 12:42:09,096 views data for user id 0 is updated in greeting databse 
INFO 2020-12-21 12:42:09,098 basehttp "POST /greetings/ HTTP/1.1" 302 0
INFO 2020-12-21 12:42:09,117 basehttp "GET /greetings/list HTTP/1.1" 301 0
INFO 2020-12-21 12:42:09,441 basehttp "GET /greetings/list/ HTTP/1.1" 200 8921
WARNING 2020-12-21 12:42:09,537 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 12:42:09,538 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
WARNING 2020-12-21 12:42:09,697 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 12:42:09,698 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
INFO 2020-12-21 12:42:36,841 basehttp "GET /greetings/list/ HTTP/1.1" 200 8921
WARNING 2020-12-21 12:42:37,014 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 12:42:37,015 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
WARNING 2020-12-21 12:42:37,314 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 12:42:37,315 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
INFO 2020-12-21 12:42:53,180 basehttp "GET /greetings/ HTTP/1.1" 200 2954
INFO 2020-12-21 12:43:10,510 basehttp "GET /greetings/list/ HTTP/1.1" 200 8921
WARNING 2020-12-21 12:43:10,598 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 12:43:10,599 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
WARNING 2020-12-21 12:43:11,171 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 12:43:11,171 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
INFO 2020-12-21 12:45:14,973 basehttp "GET /greetings/list/ HTTP/1.1" 200 8921
WARNING 2020-12-21 12:45:15,250 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 12:45:15,251 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
WARNING 2020-12-21 12:45:15,817 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 12:45:15,818 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
INFO 2020-12-21 12:45:19,431 basehttp "GET /greetings/ HTTP/1.1" 200 3522
INFO 2020-12-21 12:45:37,814 basehttp "GET /greetings/ HTTP/1.1" 200 3527
INFO 2020-12-21 12:45:41,849 basehttp "GET /greetings/ HTTP/1.1" 200 3527
INFO 2020-12-21 12:46:55,406 basehttp "GET /greetings/ HTTP/1.1" 200 3507
INFO 2020-12-21 12:47:50,593 basehttp "GET /greetings/ HTTP/1.1" 200 3548
INFO 2020-12-21 12:48:11,795 basehttp "GET /greetings/ HTTP/1.1" 200 3543
INFO 2020-12-21 12:49:32,883 basehttp "GET /greetings/ HTTP/1.1" 200 3548
INFO 2020-12-21 12:49:57,594 views New message is added to  database.
INFO 2020-12-21 12:49:57,683 views data for user id 0 is updated in greeting databse 
INFO 2020-12-21 12:49:57,684 basehttp "POST /greetings/ HTTP/1.1" 302 0
INFO 2020-12-21 12:49:57,723 basehttp "GET /greetings/list HTTP/1.1" 301 0
INFO 2020-12-21 12:49:58,153 basehttp "GET /greetings/list/ HTTP/1.1" 200 10259
WARNING 2020-12-21 12:49:58,247 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 12:49:58,248 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
WARNING 2020-12-21 12:49:58,504 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 12:49:58,504 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
INFO 2020-12-21 12:50:16,753 views user91 is deleted from greeting database.
INFO 2020-12-21 12:50:16,754 basehttp "GET /greetings/delete/91/ HTTP/1.1" 302 0
INFO 2020-12-21 12:50:17,203 basehttp "GET /greetings/list/ HTTP/1.1" 200 8931
WARNING 2020-12-21 12:50:17,292 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 12:50:17,293 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
WARNING 2020-12-21 12:50:17,499 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 12:50:17,500 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
INFO 2020-12-21 12:52:10,685 basehttp "GET /greetings/list/ HTTP/1.1" 200 9051
WARNING 2020-12-21 12:52:10,799 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 12:52:10,819 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
WARNING 2020-12-21 12:52:11,296 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 12:52:11,297 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
INFO 2020-12-21 12:56:05,303 basehttp "GET /greetings/ HTTP/1.1" 200 3548
INFO 2020-12-21 12:57:27,650 basehttp "GET /greetings/ HTTP/1.1" 200 3548
INFO 2020-12-21 12:57:49,969 basehttp "GET /greetings/ HTTP/1.1" 200 3548
INFO 2020-12-21 12:58:17,399 basehttp "GET /greetings/ HTTP/1.1" 200 3566
INFO 2020-12-21 12:58:20,765 basehttp "GET /greetings/list/ HTTP/1.1" 200 9051
WARNING 2020-12-21 12:58:20,914 log Not Found: /greetings/list/Greetings.css
WARNING 2020-12-21 12:58:20,914 basehttp "GET /greetings/list/Greetings.css HTTP/1.1" 404 3715
WARNING 2020-12-21 12:58:21,121 log Not Found: /greetings/list/Greetings.css
